Reunião;Ação;Indicador;Dono;Responsável;Início;Fim;Conclusão
RPA;Ressuprir 1 palete dos SKUs 2319, 7325, 33818, 19164, 34608, 9068. Ressuprir 2 paletes dos SKUs 33820, 20217, 13201, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;28/01/2026;28/01/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 9068, 33820, 9084, 17808, 2319, 13201. Ressuprir 2 paletes dos SKUs 13205. Ressuprir 5 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;29/01/2026;29/01/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2319, 9084, 988, 503, 19164. Ressuprir 2 paletes dos SKUs 34608, 9068, 13201. Ressuprir 4 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;30/01/2026;30/01/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 33818, 17808, 9084, 2319, 33820, 34608. Ressuprir 2 paletes dos SKUs 9068, 21020. Ressuprir 3 paletes dos SKUs 13201. Ressuprir 4 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;31/01/2026;31/01/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 2349, 9068, 21020, 33818, 19164, 2319, 20217, 503, 9084, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;02/02/2026;02/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 1745, 19164, 33820, 2319. Ressuprir 2 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;04/02/2026;04/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2546, 9084, 2319, 34608, 19164, 17808, 13201, 2349. Ressuprir 4 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;05/02/2026;05/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2349, 34608, 33820, 2546, 9084, 17808, 2319, 982. Ressuprir 2 paletes dos SKUs 19164. Ressuprir 4 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;06/02/2026;06/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 33820, 7947, 19164, 9084, 19668, 33818, 20217, 2319, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;07/02/2026;07/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 33820, 2349, 19164. Ressuprir 3 paletes dos SKUs 34608, 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;09/02/2026;09/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2319, 1745, 17808, 18836, 1166, 19164, 33818, 9084, 34608. Ressuprir 2 paletes dos SKUs 2349. Ressuprir 3 paletes dos SKUs 33820. Ressuprir 5 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;11/02/2026;11/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 988, 1745, 9069, 18152, 13061, 34608, 504, 19164, 2319, 18266, 33818, 33820, 17808, 2349, 9084, 982, 8791. Ressuprir 2 paletes dos SKUs 9068, 18836. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;12/02/2026;12/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 18836, 17808, 982, 19668, 2349, 2546, 9069, 9084. Ressuprir 2 paletes dos SKUs 2319. Ressuprir 3 paletes dos SKUs 33820, 33818, 20217. Ressuprir 4 paletes dos SKUs 9068, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;13/02/2026;13/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 7947, 19668, 9068, 17808, 19164, 9084, 13061, 34608, 2349. Ressuprir 2 paletes dos SKUs 33820, 2319, 20217, 18836. Ressuprir 3 paletes dos SKUs 33818, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;14/02/2026;14/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 13205, 9084, 33820. Ressuprir 5 paletes dos SKUs 9068, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;16/02/2026;16/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;17/02/2026;17/02/2026;Ressuprimento realizado por Denis, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 1388, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;19/02/2026;19/02/2026;Ressuprimento realizado por Denis, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 19164. Ressuprir 2 paletes dos SKUs 13201. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;20/02/2026;20/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 19164, 9068, 2349, 17808, 503, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;21/02/2026;21/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 18266, 21020, 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;23/02/2026;23/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 19164, 2319, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;25/02/2026;25/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 35331, 1388, 503, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;26/02/2026;26/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 2319, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;27/02/2026;27/02/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 7947, 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;28/02/2026;28/02/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 20217, 33818, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;02/03/2026;02/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 1388, 8791, 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;05/03/2026;05/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 18152, 2349, 21020, 503, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;06/03/2026;06/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;07/03/2026;07/03/2026;Ressuprimento realizado por Denis, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2349, 19164, 2319, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;11/03/2026;11/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 13205, 2319, 19164, 33820. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;12/03/2026;12/03/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 503, 33820, 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;13/03/2026;13/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 2319, 9084, 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;14/03/2026;14/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 1745, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;17/03/2026;17/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 20217. Ressuprir 2 paletes dos SKUs 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;19/03/2026;19/03/2026;Ressuprimento realizado por Denis, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2319, 9084. Ressuprir 2 paletes dos SKUs 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;20/03/2026;20/03/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2319, 19164, 1388, 34608, 2349, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;21/03/2026;21/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 9084, 2319, 33820. Ressuprir 2 paletes dos SKUs 1745, 13205. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;25/03/2026;25/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 9084, 2319. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;26/03/2026;26/03/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 2319, 33820, 8791, 9084, 13201, 2546, 19164, 982, 17808. Ressuprir 2 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;27/03/2026;27/03/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 503, 2319, 20217. Ressuprir 2 paletes dos SKUs 2349, 13201, 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;28/03/2026;28/03/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 2319, 9084, 33820. Ressuprir 2 paletes dos SKUs 33818, 20217. Ressuprir 3 paletes dos SKUs 19164. Ressuprir 5 paletes dos SKUs 2349, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;30/03/2026;30/03/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 1745, 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;31/03/2026;31/03/2026;Ressuprimento realizado por Denis, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 21020, 988, 2546, 33818, 18836, 2319, 1745, 33820. Ressuprir 2 paletes dos SKUs 2349. Ressuprir 7 paletes dos SKUs 19164. Ressuprir 14 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;01/04/2026;01/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 1745, 2319, 17808, 13205, 2349, 33820. Ressuprir 2 paletes dos SKUs 34608, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;02/04/2026;02/04/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 33820, 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;03/04/2026;03/04/2026;Ressuprimento realizado por Denis, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 33820, 9084, 19164, 1745, 503, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;08/04/2026;08/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 19164, 35331, 503, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;09/04/2026;09/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 17808, 503, 20217, 19164, 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;10/04/2026;10/04/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 34608, 19164. Ressuprir 2 paletes dos SKUs 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;11/04/2026;11/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 19164, 33820, 9069, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;13/04/2026;13/04/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 17808, 19164, 34608, 1745, 20217. Ressuprir 3 paletes dos SKUs 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;15/04/2026;15/04/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 33818, 20217, 988, 35331. Ressuprir 2 paletes dos SKUs 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;16/04/2026;16/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 9069, 19164. Ressuprir 2 paletes dos SKUs 33820. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;17/04/2026;17/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 33818. Ressuprir 2 paletes dos SKUs 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;18/04/2026;18/04/2026;Ressuprimento realizado por Denis, validado pelo conferente Maciel Santana.
RPA;Ressuprir 1 palete dos SKUs 33820, 20217, 9069, 19164, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;20/04/2026;20/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;23/04/2026;23/04/2026;Ressuprimento realizado por Denis, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 2319, 19164, 9069. Ressuprir 4 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;24/04/2026;24/04/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Lael José.
RPA;Ressuprir 1 palete dos SKUs 2319, 19164, 9084, 9069, 9096. Ressuprir 3 paletes dos SKUs 20217, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;25/04/2026;25/04/2026;Ressuprimento realizado por Denis, validado pelos conferentes Maciel Santana e Lael José.
RPA;Ressuprir 1 palete dos SKUs 9069, 21020, 33820, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;27/04/2026;27/04/2026;Ressuprimento realizado por Carlos Alexandre, validado pelos conferentes Lael José e Maciel Santana.
RPA;Ressuprir 3 paletes dos SKUs 13205, devido a falta durante carregamento.;Ressuprimento;Lais;Dennyson;13/05/2026;13/05/2026;Ressuprimento realizado por Carlos Alexandre, validado pelo conferente Jobson.
